competition,edition,team_slug,coach_ja,result_ja,host_ja,comment_ja,Column1
WC,1998,japan,岡田武史,GL敗退,フランス,悲願のWorld Cup初出場,
WC,2002,japan,フィリップ・トルシエ,ベスト16,日韓,初の自国開催・グループリーグ突破,
WC,2006,japan,ジーコ,GL敗退,ドイツ,黄金の中盤 - 失意のW杯,
WC,2010,japan,岡田武史,ベスト16,南アフリカ,第二次岡田JAPANの逆襲,
WC,2014,japan,アルベルト・ザッケローニ,GL敗退,ブラジル,期待と現実のギャップ,
WC,2018,japan,西野朗,ベスト16,ロシア,ベスト8目前、ロストフの14秒,
WC,2022,japan,森保一,ベスト16,カタール,ジャイアントキリング - 三笘の1ミリ,
WC,2026,japan,森保一,出場決定,北中米,史上最強のメンバー,
WC,1934,germany,,3位,イタリア,,
WC,1938,germany,,1回戦敗退,フランス,,
WC,1954,germany,,優勝,スイス,,
WC,1958,germany,,4位,スウェーデン,,
WC,1962,germany,,ベスト8,チリ,,
WC,1966,germany,,準優勝,イングランド,,
WC,1970,germany,,3位,メキシコ,,
WC,1974,germany,,優勝,ドイツ,,
WC,1978,germany,,GL敗退,アルゼンチン,,
WC,1982,germany,,準優勝,スペイン,,
WC,1986,germany,,準優勝,メキシコ,,
WC,1990,germany,,優勝,イタリア,,
WC,1994,germany,,ベスト8,アメリカ,,
WC,1998,germany,ベルティ・フォクツ,ベスト8,フランス,,バロンドール負傷,
WC,2002,germany,ルディ・フェラー,準優勝,日韓,若き皇帝 - 強国復権,
WC,2006,germany,ユルゲン・クリンスマン,3位,ドイツ,自国開催の意地,
WC,2010,germany,ヨアヒム・レーヴ,3位,南アフリカ,新世代の台頭,
WC,2014,germany,ヨアヒム・レーヴ,優勝,ブラジル,王国破壊 - 圧倒的勝者,
WC,2018,germany,ヨアヒム・レーヴ,GL敗退,ロシア,10大会ぶりの屈辱,
WC,2022,germany,ハンジ・フリック,GL敗退,カタール,死のグループの結末,
WC,2026,germany,ユリアン・ナーゲルスマン,,北中米,WC2026：出場決定,
WC,1930,brazil,,GL敗退,イタリア,,
WC,1934,brazil,,1回戦敗退,イタリア,,
WC,1938,brazil,,3位,フランス,,
WC,1950,brazil,,準優勝,ブラジル,,
WC,1954,brazil,,ベスト8,スイス,,
WC,1958,brazil,,優勝,スウェーデン,,
WC,1962,brazil,,優勝,チリ,,
WC,1966,brazil,,GL敗退,イングランド,,
WC,1970,brazil,,優勝,メキシコ,,
WC,1974,brazil,,4位,ドイツ,,
WC,1978,brazil,,3位,アルゼンチン,,
WC,1982,brazil,,2次L敗退,スペイン,,
WC,1986,brazil,,ベスト8,メキシコ,,
WC,1990,brazil,,ベスト16,イタリア,,
WC,1994,brazil,,優勝,アメリカ,,
WC,1998,brazil,マリオ・ザガロ,準優勝,フランス,若きエースの重圧,
WC,2002,brazil,ルイス・フェリペ・スコラーリ,優勝,日韓,3R - 最後の黄金期,
WC,2006,brazil,カルロス・アルベルト・パレイラ,ベスト8,ドイツ,凋落の始まり,
WC,2010,brazil,ドゥンガ,ベスト8,南アフリカ,闘将就任 - 堅守速攻,
WC,2014,brazil,ルイス・フェリペ・スコラーリ,4位,ブラジル,自国開催 - ミネイロンの惨劇,
WC,2018,brazil,チッチ,ベスト8,ロシア,ネイマール全盛期 - 届かぬ栄冠
WC,2022,brazil,チッチ,ベスト8,カタール,勝ちきれない王国,
WC,2026,brazil,カルロ・アンチェロッティ,,北中米,WC2026：出場決定,
WC,1930,argentina,,準優勝,イタリア,,
WC,1934,argentina,,1回戦敗退,イタリア,,
WC,1958,argentina,,GL敗退,スウェーデン,,
WC,1962,argentina,,GL敗退,チリ,,
WC,1966,argentina,,ベスト8,イングランド,,
WC,1974,argentina,,2次L敗退,ドイツ,,
WC,1978,argentina,,優勝,アルゼンチン,,
WC,1982,argentina,,2次L敗退,スペイン,,
WC,1986,argentina,,優勝,メキシコ,,
WC,1990,argentina,,準優勝,イタリア,,
WC,1994,argentina,,ベスト16,アメリカ,,
WC,1998,argentina,マリオ・ザガロ,ベスト8,フランス,,
WC,2002,argentina,マルセロ・ビエルサ,GL敗退,日韓,死のグループでの屈辱,
WC,2006,argentina,ホセ・ペケルマン,ベスト8,ドイツ,知将が率いたタレント軍団,
WC,2010,argentina,ディエゴ・マラドーナ,ベスト8,南アフリカ,指揮官マラドーナのW杯,
WC,2014,argentina,アレハンドロ・サベーラ,準優勝,ブラジル,延長戦の涙,
WC,2018,argentina,ホルヘ・サンパオリ,ベスト16,ロシア,エムバペの衝撃 - 1st round
WC,2022,argentina,リオネル・スカローニ,優勝,カタール,メッシ悲願のW杯制覇,
WC,2026,argentina,リオネル・スカローニ,,北中米,WC2026：出場決定,
WC,1930,france,,GL敗退,イタリア,,
WC,1934,france,,1回戦敗退,イタリア,,
WC,1938,france,,ベスト8,フランス,,
WC,1954,france,,GL敗退,ブラジル,,
WC,1958,france,,3位,スウェーデン,,
WC,1966,france,,GL敗退,イングランド,,
WC,1978,france,,GL敗退,アルゼンチン,,
WC,1982,france,,4位,スペイン,,
WC,1986,france,,3位,メキシコ,,
WC,1998,france,エメ・ジャケ,優勝,フランス,悲願のW杯初制覇,
WC,2002,france,ロジェ・ルメール,GL敗退,日韓,欧州勢大苦戦 - 前回王者早々に散る,
WC,2006,france,レイモン・ドメネク,ベスト8,ドイツ,ジダン復帰 - 衝撃の頭突き,
WC,2010,france,レイモン・ドメネク,GL敗退,南アフリカ,混迷 - 谷間の世代,
WC,2014,france,ディディエ・デシャン,ベスト8,ブラジル,チーム再建へ,
WC,2018,france,ディディエ・デシャン,優勝,ロシア,若き神童の衝撃 - 黄金期再び
WC,2022,france,ディディエ・デシャン,準優勝,カタール,神メッシとの死闘,
WC,2026,france,ディディエ・デシャン,,北中米,WC2026：出場決定,
WC,1950,england,,GL敗退,ブラジル,,
WC,1954,england,,ベスト8,ブラジル,,
WC,1958,england,,GL敗退,スウェーデン,,
WC,1962,england,,ベスト8,チリ,,
WC,1966,england,,優勝,イングランド,,
WC,1970,england,,ベスト8,メキシコ,,
WC,1982,england,,2次L敗退,スペイン,,
WC,1986,england,,ベスト8,メキシコ,,
WC,1990,england,,4位,イタリア,,
WC,1998,england,グレン・ホドル,ベスト16,フランス,ワンダーボーイの衝撃 / 貴公子退場
WC,2002,england,スヴェン＝ゴラン・エリクソン,ベスト8,日韓,主将ベッカム,
WC,2006,england,スヴェン＝ゴラン・エリクソン,ベスト8,ドイツ,消化不良のタレント軍団,
WC,2010,england,ファビオ・カペッロ,ベスト16,南アフリカ,黄金世代輝かず,
WC,2014,england,ロイ・ホジソン,GL敗退,ブラジル,母国、没落,
WC,2018,england,ガレス・サウスゲート,4位,ロシア,プレミア隆盛 - 新世代の躍進
WC,2022,england,ガレス・サウスゲート,ベスト8,カタール,主砲、涙のPK失敗,
WC,2026,england,トーマス・トゥヘル,,北中米,WC2026：出場決定,
WC,1934,spain,,ベスト8,イタリア,,
WC,1950,spain,,4位,ブラジル,,
WC,1962,spain,,GL敗退,チリ,,
WC,1966,spain,,GL敗退,イングランド,,
WC,1978,spain,,GL敗退,アルゼンチン,,
WC,1982,spain,,2次L敗退,スペイン,,
WC,1986,spain,,ベスト8,メキシコ,,
WC,1990,spain,,ベスト16,イタリア,,
WC,1994,spain,,ベスト8,アメリカ,,
WC,1998,spain,ハビエル・クレメンテ,GL敗退,フランス,予選無敗 → 死の組に散る,
WC,2002,spain,ホセ・アントニオ・カマーチョ,ベスト8,日韓,世紀の誤審,
WC,2006,spain,ルイス・アラゴネス,ベスト16,ドイツ,世代交代の狭間,
WC,2010,spain,ビセンテ・デル・ボスケ,優勝,南アフリカ,初制覇 - ティキ・タカ旋風,
WC,2014,spain,ビセンテ・デル・ボスケ,GL敗退,ブラジル,一時代の終焉,
WC,2018,spain,フェルナンド・イエロ,ベスト16,ロシア,監督交代劇の余波
WC,2022,spain,ルイス・エンリケ,ベスト16,カタール,ダークホースの脅威,
WC,2026,spain,ルイス・デ・ラ・フエンテ,,北中米,WC2026：出場決定,
WC,1934,italy,,優勝,イタリア,,
WC,1938,italy,,優勝,フランス,,
WC,1950,italy,,GL敗退,ブラジル,,
WC,1954,italy,,GL敗退,スイス,,
WC,1962,italy,,GL敗退,チリ,,
WC,1966,italy,,GL敗退,イングランド,,
WC,1970,italy,,準優勝,メキシコ,,
WC,1974,italy,,GL敗退,ドイツ,,
WC,1978,italy,,4位,アルゼンチン,,
WC,1982,italy,,優勝,スペイン,,
WC,1986,italy,,ベスト16,メキシコ,,
WC,1990,italy,,3位,イタリア,,
WC,1994,italy,,準優勝,アメリカ,バッジョ、失意の終幕,
WC,1998,italy,チェーザレ・マルディーニ,ベスト8,フランス,涙のPK戦再び,
WC,2002,italy,ジョバンニ・トラパットーニ,ベスト8,日韓,因縁 - 議論を呼んだ敗退,
WC,2006,italy,マルチェロ・リッピ,優勝,ドイツ,スキャンダルからの栄光,
WC,2010,italy,マルチェロ・リッピ,GL敗退,南アフリカ,前回王者 - カテナチオの陰り,
WC,2014,italy,チェーザレ・プランデッリ,GL敗退,ブラジル,セリエA衰退期の象徴
WC,2026,italy,ジェンナーロ・ガットゥーゾ,,北中米,WC2026：出場決定,
WC,1934,netherlands,,1回戦敗退,イタリア,,
WC,1938,nNetherlands,,1回戦敗退,フランス,,
WC,1974,netherlands,,準優勝,ドイツ,,
WC,1978,netherlands,,準優勝,アルゼンチン,,
WC,1990,netherlands,,ベスト16,イタリア,,
WC,1994,netherlands,,ベスト8,アメリカ,,
WC,1998,netherlands,フース・ヒディンク,4位,フランス,アヤックス製タレント集団,
WC,2006,netherlands,マルコ・ファン・バステン,ベスト16,ドイツ,谷間の世代 - 世代交代,
WC,2010,netherlands,ベルト・ファン・マルワイク,準優勝,南アフリカ,王国撃破 - 決勝の舞台へ,
WC,2014,netherlands,ルイ・ファン・ハール,3位,ブラジル,PK戦に笑い、PK戦に泣く
WC,2022,netherlands,ルイ・ファン・ハール,ベスト8,カタール,2大会ぶり出場 - 新時代へ,
WC,2026,netherlands,ロナルド・クーマン,,北中米,WC2026：出場決定,
WC,1966,portugal,,3位,イングランド,,
WC,1986,portugal,,GL敗退,メキシコ,,
WC,2002,portugal,アントニオ・オリベイラ,GL敗退,日韓,黄金世代、晴れ舞台へ,
WC,2006,portugal,ルイス・フェリペ・スコラーリ,4位,ドイツ,CR7台頭 - 新世代の躍動,
WC,2010,portugal,カルロス・ケイロス,ベスト16,南アフリカ,欧州強豪の仲間入り,
WC,2014,portugal,パウロ・ベント,GL敗退,ブラジル,遠い上位進出,
WC,2018,portugal,フェルナンド・サントス,ベスト16,ロシア,欧州王者、Ｗ杯の壁
WC,2022,portugal,フェルナンド・サントス,ベスト8,カタール,CR7健在 - 次世代の継承者たち,
WC,2026,portugal,ロベルト・マルティネス,,北中米,WC2026：出場決定,

